X,,,Y,OBJECTID,NAME,LINES,ATCOCODE,MODES,ACCESSIBILITY,NIGHT_TUBE,NETWORK,DATASET_LAST_UPDATED,FULL_NAME
526659.2098,30580.2098,50.9102,181314.446900001,125,Paddington,"Hammersmith & City, District, Circle, Bakerloo",940GZZLUPAC,tube,Partially Accessible,No,London Underground,2021/11/29 00:00:00+00,Paddington station
526663.6914,30584.6914,50.9176,184334.9639,220,Swiss Cottage,Jubilee,940GZZLUSWC,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Swiss Cottage station
526703.6907,30624.6907,50.9842,181197.8431,171,Paddington,"Hammersmith & City, District, Circle, Bakerloo",940GZZLUPAC,tube,Partially Accessible,No,London Underground,2021/11/29 00:00:00+00,Paddington station
526710.5082,30631.5082,50.9956,180773.3476,202,Lancaster Gate,Central,940GZZLULGT,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Lancaster Gate station
526735.2854,30656.2854,51.0368,183390.8717,332,St. John's Wood,Jubilee,940GZZLUSJW,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,St. John's Wood station
526787.9528,30708.9528,51.1245,170368.2575,222,Colliers Wood,Northern,940GZZLUCSD,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Colliers Wood station
526917.564,30838.564,51.340,178820.259,175,South Kensington,"District, Piccadilly, Circle",940GZZLUSKS,"bus, tube",Partially Accessible - Interchange Only,Yes,London Underground,2021/11/29 00:00:00+00,South Kensington station
527046.7044,30967.7044,51.5553,181758.9463,272,Edgware Road (Bakerloo),Bakerloo,940GZZLUERB,"tube, bus",Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Edgware Road (Bakerloo) station
527220.0675,31141.0675,51.8439,181696.8814,170,Edgware Road (Circle Line),Circle,940GZZLUERC,"bus, tube",Partially Accessible - Interchange Only,No,London Underground,2021/11/29 00:00:00+00,Edgware Road (Circle Line) station
527221.696,31142.696,51.847,189183.6545,471,East Finchley,Northern,940GZZLUEFY,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,East Finchley station
527353.7983,31274.7983,52.0665,185088.897399999,280,Belsize Park,Northern,940GZZLUBZP,"bus, tube",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Belsize Park station
527433.7399,31354.7399,52.1996,171443.250700001,224,Tooting Broadway,Northern,940GZZLUTBY,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Tooting Broadway station
527458.7894,31379.7894,52.2413,181957.287599999,275,Marylebone,Bakerloo,940GZZLUMYB,tube,Not Accessible,No,London Underground,2021/11/29 00:00:00+00,Marylebone station
527709.677,31630.677,52.659,179635.9859,146,Knightsbridge,Piccadilly,940GZZLUKNB,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Knightsbridge station
527954.6729,31875.6729,53.0669,182063.567500001,169,Baker Street,"Metropolitan, Bakerloo, Circle, Jubilee, Hammersmith & City",940GZZLUBST,"bus, tube",Partially Accessible - Interchange Only,Yes,London Underground,2021/11/29 00:00:00+00,Baker Street station
527960.1312,31881.1312,53.0760,181017.4747,203,Marble Arch,Central,940GZZLUMBA,"tube, bus",Not Accessible,Yes,London Underground,2021/11/29 00:00:00+00,Marble Arch station
